
Project:     BUAATrolley2018165
Program:     Inertial Explorer Version 8.70.5101
Profile:     BUAADNCForPlot
Source:      GNSS/INS Epochs(Smoothed TC Combined)
SolFile:      D:\confi\Documents\SPANProject\BUAATrolley2018165.cts
ProcessInfo: BUAATrolley2018165 by Unknown on 9/17/2018 at 09:59:39

Datum:       WGS84
Master 1:    Name BDStarBaseOEM71, Status ENABLED
             Antenna height 0.000 m, to L1PC [Generic(NONE)]
             Lat, Lon, El Hgt 40 06 04.16122, 116 07 53.73361, 58.918 m [WGS84, 2018.452]
Master 2:    Name BJNM, Status DISABLED
             Antenna height 0.000 m, to ARP [NOV702GG(NONE)]
             Lat, Lon, El Hgt 40 14 43.16664, 116 13 26.87428, 109.122 m [WGS84, 2018.449]
Remote:      Antenna height 0.000 m, to L1PC [Generic(NONE)]
IMU to GNSS Antenna Lever Arms:
             x=-0.275, y=-0.055, z=0.144 m (x-right, y-fwd, z-up)
Body to Sensor Rotations:
             xRot=0.000, yRot=0.000, zRot=0.000 degrees (Rotate IMU into Vehicle Frame)
IMU->Secondary Sensor Lever Arms: 
            x=-0.275, y=-0.055, z=0.144 m (x-right, y-fwd, z-up, IMU->SENSOR)

 Week ,    CorrTime ,   HzSpeed ,   Heading , iFlag    , GP , GL , BD ,   PDOP , Update         ,        CARms ,  DopRms ,        L1Rms ,      COG
(week         (sec)       (m/s)       (deg)                              (dop)                             (m)     (m/s)            (m)      (deg)
 2005 ,  379449.000 ,     1.351 ,   -87.722 , PHS      ,  1 ,  0 ,  0 ,   0.00 ,  TR PR         ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379450.000 ,     1.371 ,   -85.895 , PHS      ,  1 ,  0 ,  0 ,   0.00 ,  TR PR         ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379451.000 ,     1.392 ,   -92.913 , PHS      ,  1 ,  0 ,  0 ,   0.00 ,  TR PR         ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379452.000 ,     1.210 ,   -90.821 , PHS      ,  1 ,  0 ,  0 ,   0.00 ,  TR PR         ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379453.000 ,     1.515 ,   -84.727 , PHS      ,  1 ,  0 ,  0 , 109.83 ,  TR            ,        0.420 ,   0.000 ,        0.000 ,  206.947
 2005 ,  379454.000 ,     1.343 ,   -87.182 , PHS      ,  2 ,  0 ,  0 , 107.99 ,  TR            ,        0.440 ,   0.000 ,        0.000 ,  208.606
 2005 ,  379455.000 ,     1.253 ,   -94.846 , PHS      ,  1 ,  0 ,  0 ,   0.00 ,  TR PR         ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379456.000 ,     1.508 ,   -94.929 , PHS      ,  1 ,  0 ,  0 ,   0.00 ,  TR PR         ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379457.000 ,     1.581 ,   -94.300 , GPS      ,  3 ,  1 ,  2 ,  11.17 ,  GP GV TR      ,        0.550 ,   0.017 ,        0.000 ,  256.494
 2005 ,  379458.000 ,     1.594 ,   -92.459 , GPS      ,  3 ,  1 ,  2 ,  11.17 ,  GP GV TR      ,        0.650 ,   0.047 ,        0.000 ,  246.354
 2005 ,  379459.000 ,     1.553 ,   -94.444 , GPS      ,  4 ,  1 ,  2 ,   6.44 ,  GP GV TR      ,        3.590 ,   0.068 ,        0.003 ,  262.689
 2005 ,  379460.000 ,     1.633 ,   -98.243 , GPS      ,  4 ,  1 ,  2 ,   6.44 ,  GP GV TR      ,        2.260 ,   0.063 ,        0.003 ,  257.083
 2005 ,  379461.000 ,     1.673 ,   -99.217 , GPS      ,  4 ,  2 ,  1 ,   2.92 ,  GP GV TR      ,        1.700 ,   0.176 ,        0.006 ,  260.709
 2005 ,  379462.000 ,     1.636 ,   -99.048 , GPS      ,  4 ,  2 ,  1 ,   2.92 ,  GP GV TR      ,        1.480 ,   0.156 ,        0.007 ,  280.502
 2005 ,  379463.000 ,     1.644 ,   -89.021 , GPS      ,  3 ,  3 ,  2 ,   2.10 ,  GP GV TR      ,        1.740 ,   0.117 ,        0.000 ,  280.700
 2005 ,  379464.000 ,     1.705 ,   -86.056 , GPS      ,  2 ,  3 ,  2 ,   7.38 ,  GP GV TR      ,        2.370 ,   0.283 ,        0.000 ,  270.336
 2005 ,  379465.000 ,     1.730 ,   -90.639 , GPS      ,  3 ,  3 ,  0 ,   3.43 ,  GP GV TR      ,        1.810 ,   0.281 ,        0.000 ,  273.521
 2005 ,  379466.000 ,     1.496 ,   -91.778 , GPS      ,  4 ,  2 ,  0 ,   2.93 ,  GP TR         ,        1.520 ,   0.202 ,        0.000 ,  267.326
 2005 ,  379467.000 ,     1.349 ,   -89.154 , PHS      ,  3 ,  1 ,  0 ,   0.00 ,  TR            ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379468.000 ,     1.042 ,   -86.936 , PHS      ,  2 ,  0 ,  0 ,   0.00 ,  TR PR         ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379469.000 ,     0.252 ,   -82.907 , PHS      ,  1 ,  0 ,  1 ,   0.00 ,  TR PR         ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379470.000 ,     0.066 ,   -80.586 , PHS      ,  0 ,  0 ,  1 ,   0.00 ,  TR PR         ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379471.000 ,     0.008 ,   -80.576 , PHS      ,  4 ,  2 ,  2 ,   2.34 ,  GV TR         ,        1.940 ,   0.034 ,        0.004 ,    0.000
 2005 ,  379472.000 ,     0.006 ,   -80.590 , ZUPT     ,  5 ,  2 ,  3 ,   1.77 ,  ZU GV TR      ,        1.640 ,   0.018 ,        0.007 ,    0.000
 2005 ,  379473.000 ,     0.008 ,   -80.582 , ZUPT     ,  5 ,  4 ,  3 ,   1.54 ,  ZU GV TR      ,        1.520 ,   0.087 ,        0.010 ,  356.871
 2005 ,  379474.000 ,     0.005 ,   -80.591 , ZUPT     ,  5 ,  4 ,  3 ,   1.54 ,  ZU GV TR      ,        1.660 ,   0.025 ,        0.007 ,    0.000
 2005 ,  379475.000 ,     0.005 ,   -80.592 , ZUPT     ,  5 ,  4 ,  3 ,   1.54 ,  ZU GV TR      ,        1.960 ,   0.026 ,        0.012 ,    0.000
 2005 ,  379476.000 ,     0.004 ,   -80.593 , ZUPT     ,  5 ,  4 ,  4 ,   1.42 ,  ZU TR         ,        2.700 ,   0.036 ,        0.009 ,    0.000
 2005 ,  379477.000 ,     0.004 ,   -80.597 , ZUPT     ,  5 ,  4 ,  3 ,   1.54 ,  ZU TR         ,        2.680 ,   0.047 ,        0.012 ,    0.000
 2005 ,  379478.000 ,     0.003 ,   -80.600 , ZUPT     ,  6 ,  4 ,  3 ,   1.44 ,  ZU GV TR      ,        2.460 ,   0.053 ,        0.010 ,    0.000
 2005 ,  379479.000 ,     0.005 ,   -80.593 , PHS      ,  6 ,  4 ,  4 ,   1.36 ,  GV TR         ,        2.460 ,   0.077 ,        0.014 ,    0.000
 2005 ,  379480.000 ,     0.014 ,   -80.346 , PHS      ,  6 ,  4 ,  4 ,   1.35 ,  GV TR         ,        2.790 ,   0.039 ,        0.014 ,    0.000
 2005 ,  379481.000 ,     0.004 ,   -80.579 , PHS      ,  6 ,  4 ,  4 ,   1.35 ,  GV TR         ,        2.830 ,   0.067 ,        0.012 ,    0.000
 2005 ,  379482.000 ,     0.003 ,   -80.594 , PHS      ,  7 ,  4 ,  5 ,   1.15 ,  GV TR         ,        2.870 ,   0.077 ,        0.013 ,    0.000
 2005 ,  379483.000 ,     0.008 ,   -80.645 , PHS      ,  7 ,  4 ,  5 ,   1.24 ,  GV TR         ,        3.210 ,   0.143 ,        0.016 ,   24.269
 2005 ,  379484.000 ,     0.006 ,   -80.606 , PHS      ,  8 ,  4 ,  3 ,   1.20 ,  GV TR         ,        3.100 ,   0.072 ,        0.021 ,    0.000
 2005 ,  379485.000 ,     0.007 ,   -80.606 , PHS      ,  8 ,  3 ,  5 ,   1.17 ,  GV TR         ,        4.280 ,   0.065 ,        0.015 ,    0.000
 2005 ,  379486.000 ,     0.014 ,   -80.620 , PHS      ,  7 ,  3 ,  4 ,   1.46 ,  GV TR         ,        2.490 ,   0.053 ,        0.017 ,    0.000
 2005 ,  379487.000 ,     0.006 ,   -80.549 , PHS      ,  6 ,  4 ,  5 ,   1.40 ,  GV TR         ,        4.780 ,   0.117 ,        0.026 ,    0.000
 2005 ,  379488.000 ,     0.003 ,   -80.580 , ZUPT     ,  6 ,  4 ,  5 ,   1.40 ,  ZU TR         ,        4.710 ,   0.059 ,        0.024 ,    0.000
 2005 ,  379489.000 ,     0.002 ,   -80.566 , ZUPT     ,  6 ,  4 ,  4 ,   1.50 ,  ZU TR         ,        2.770 ,   0.052 ,        0.027 ,    0.000
 2005 ,  379490.000 ,     0.002 ,   -80.568 , ZUPT     ,  6 ,  4 ,  4 ,   1.50 ,  ZU TR         ,        2.720 ,   0.056 ,        0.027 ,    0.000
 2005 ,  379491.000 ,     0.001 ,   -80.552 , ZUPT     ,  6 ,  4 ,  4 ,   1.50 ,  ZU TR         ,        2.700 ,   0.052 ,        0.028 ,    0.000
 2005 ,  379492.000 ,     0.002 ,   -80.551 , ZUPT     ,  6 ,  4 ,  5 ,   1.43 ,  ZU GV TR      ,        4.740 ,   0.101 ,        0.033 ,    0.000
 2005 ,  379493.000 ,     0.003 ,   -80.552 , PHS      ,  6 ,  5 ,  5 ,   1.32 ,  GV TR         ,        4.690 ,   0.080 ,        0.029 ,    0.000
 2005 ,  379494.000 ,     0.012 ,   -80.646 , PHS      ,  6 ,  5 ,  5 ,   1.32 ,  GV TR         ,        4.690 ,   0.080 ,        0.030 ,    0.000
 2005 ,  379495.000 ,     0.008 ,   -80.607 , PHS      ,  4 ,  3 ,  5 ,   1.75 ,  GV TR         ,        5.510 ,   0.049 ,        0.025 ,    0.000
 2005 ,  379496.000 ,     0.006 ,   -80.564 , PHS      ,  4 ,  3 ,  4 ,   1.83 ,  GV TR         ,        2.950 ,   0.109 ,        0.023 ,  131.980
 2005 ,  379497.000 ,     0.007 ,   -80.581 , ZUPT     ,  4 ,  3 ,  4 ,   1.95 ,  ZU GV TR      ,        5.960 ,   0.149 ,        0.005 ,   43.453
 2005 ,  379498.000 ,     0.008 ,   -80.615 , PHS      ,  5 ,  3 ,  3 ,   2.05 ,  GV TR         ,        3.020 ,   0.088 ,        0.018 ,  239.086
 2005 ,  379499.000 ,     0.001 ,   -80.732 , PHS      ,  5 ,  3 ,  3 ,   2.09 ,  GV TR         ,        2.740 ,   0.074 ,        0.017 ,    0.000
 2005 ,  379500.000 ,     0.006 ,   -80.684 , PHS      ,  5 ,  3 ,  3 ,   2.09 ,  GV TR         ,        2.760 ,   0.080 ,        0.014 ,    0.000
 2005 ,  379501.000 ,     0.004 ,   -80.608 , PHS      ,  7 ,  4 ,  4 ,   1.30 ,  GV TR         ,        5.040 ,   0.069 ,        0.008 ,    0.000
 2005 ,  379502.000 ,     0.018 ,   -80.659 , PHS      ,  7 ,  4 ,  4 ,   1.30 ,  GV TR         ,        5.000 ,   0.047 ,        0.009 ,    0.000
 2005 ,  379503.000 ,     0.008 ,   -80.601 , PHS      ,  7 ,  4 ,  4 ,   1.30 ,  GV TR         ,        5.080 ,   0.057 ,        0.012 ,    0.000
 2005 ,  379504.000 ,     0.005 ,   -80.459 , PHS      ,  7 ,  4 ,  4 ,   1.30 ,  GV TR         ,        5.040 ,   0.053 ,        0.018 ,    0.000
 2005 ,  379505.000 ,     0.005 ,   -80.562 , PHS      ,  7 ,  4 ,  4 ,   1.30 ,  GV TR         ,        5.100 ,   0.059 ,        0.019 ,    0.000
 2005 ,  379506.000 ,     0.570 ,   -89.821 , PHS      ,  7 ,  4 ,  3 ,   1.39 ,  GV TR         ,        2.910 ,   0.132 ,        0.041 ,  277.545
